Site,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Hong Kong,2418872,1869069,2559705,2807027,2993317,3030971,2851170,2261001,2308633,2156760,2021212,2038732
Mainland China,1,44,0,0,0,0,188744,1516087,2424242,2846572,3139055,3072327
Japan,797460,731330,1051954,1180406,1214058,1280853,1309847,1113857,1377957,1136394,1560300,2346007
Korea,120208,179893,298325,368206,396705,457095,363122,388806,406290,423266,532729,518528
Singapore,190455,125491,160088,184926,204834,189835,167479,137348,166126,207808,241893,297588
Malaysia,186791,121267,180883,161296,181911,187788,157650,153695,212509,209164,193170,226919
Thailand,530945,392414,422189,268231,379275,353439,332997,258449,350074,382635,306746,507616
Philippines,128158,91418,112552,119125,110041,107824,114155,97372,139762,178876,211385,129361
Indonesia,259610,251284,283757,185348,186165,201358,186117,173429,179845,212826,198893,166378
Brunei,5850,3770,5795,296,276,670,1233,216,714,1628,1100,2411
Vietnam,225733,222487,266115,234009,242852,272020,285263,264819,313987,318587,341511,361957
Macao,1269840,837936,1038006,1163822,1232232,1196110,926593,739263,667910,587633,527050,514701
Myanmar,19814,17152,18064,15518,14606,13336,10608,11570,14097,16263,18380,23864
Others,15894,9190,31097,52211,92672,151278,78065,63519,80531,83802,8574,121210
Asia Total,6169631,4852745,6428530,6740421,7248944,7442577,6973043,7179431,8642677,8762214,9367597,10388937
U.S.A.,532180,479264,536217,578998,593794,587872,515590,415465,436233,404848,469568,381374
Canada,132605,95226,112413,104346,93244,87161,65393,61893,63002,67733,66614,65086
American Others,9,11,0,0,0,0,0,110,283,678,832,135
American Total,664794,574501,648630,683344,687038,675033,580983,477468,499518,473259,537014,446595
France,28967,24245,26423,26696,29287,27973,442,23518,23960,31337,30132,33000
Germany,18911,20524,25160,33911,33651,37105,38205,32797,31975,35378,36271,41122
Italy,16346,16367,24484,25809,20552,17175,14656,9726,7719,9355,12718,70
Netherlands,129124,105885,128162,121728,93422,85352,98321,84535,43955,85238,83253,22102
Switzerland,4,2,0,0,0,0,169,565,919,1414,64,0
U.K.,25764,23432,34071,33831,39255,38310,39114,50621,36142,36376,38002,1
Austria,24654,21754,22045,39047,42096,38107,34080,34829,26081,35901,39734,23487
Europe Others,771,7,0,0,0,475,36,191,1654,4063,586,18
Europe Total,244541,212216,260345,281022,258263,244497,225023,236782,172405,239062,240760,119800
Australia,70141,70679,75957,87912,76424,75408,66543,89793,74787,54889,49986,69824
New Zealand,35758,24819,21047,20742,21495,17565,10732,1,997,15962,1621,6
Palau,15812,28388,41909,31012,26685,28238,15918,13264,19951,30079,37512,27164
Oceania Others,0,0,0,0,0,129,28,57,110,684,47,126
Oceania Total,121711,123886,138913,139666,124604,121340,93221,103115,95845,101614,89166,97120
S.Africa,0,0,0,0,0,0,38,0,0,1,6,2
Africa Others,0,0,0,0,0,1,2,2838,1110,237,1820,12
Africa Total,0,0,0,0,0,1,40,2838,1110,238,1826,14
